Time[yr],single_sup_earth_3.0au,single_sup_earth_5.0au,single_sup_earth_7.0au,single_sup_earth_10.0au,single_nep_3.0au,single_nep_5.0au,single_nep_7.0au,single_nep_10.0au,single_sat_3.0au,single_sat_5.0au,single_sat_7.0au,single_sat_10.0au,single_jup_3.0au,single_jup_5.0au,single_jup_7.0au,single_jup_10.0au,single_sup_jup_3.0au,single_sup_jup_5.0au,single_sup_jup_7.0au,single_sup_jup_10.0au
27585.316176291868,0.2606887168736147,0.2626515989061,0.2615536759315942,0.26193641485362784,0.06896170723384609,0.18126579777923202,0.24724064140222235,0.2659004537208529,0.002178239891151179,0.07515204299957057,0.17007454613689155,0.28957678408712617,8.156163251271664e-05,0.06729763198416983,0.1873189099705499,0.3173531561887619,7.435649028719737e-07,0.01248133486857661,0.15912709599262698,0.3440560553145078
32245.90545296398,0.37351014016887163,0.37786239357438656,0.3758202818991794,0.37644681813844283,0.09801621043890618,0.25992994162600147,0.3472177327143293,0.3816657635525136,0.002396071290258428,0.07892070049607214,0.18160559922796238,0.37757407931133846,9.260155580248508e-05,0.07137863390404431,0.20977653498435767,0.405777138891922,9.75934780877985e-07,0.013254808410763319,0.17052034854712672,0.45567204342034406
37693.909753883636,0.5471006110079177,0.5557047771958517,0.5527160507939723,0.5529822331240652,0.14202713871191708,0.38692639776083615,0.5083443011434272,0.5544344136264148,0.0026366434080219436,0.0838210366054375,0.19109180885277355,0.44356304407641334,0.00010490286620823408,0.07684064683225267,0.22987267932284183,0.4764374976853165,1.3142258432630172e-06,0.014194396004967635,0.18393402590797803,0.5676644058812759
44062.36427773573,0.8202291118287603,0.8366694404989796,0.832383266982732,0.8314364746894247,0.21011915467034648,0.5946587099505336,0.7723454626242892,0.8240294035835563,0.002898607403203912,0.09055160510760452,0.2029552038907183,0.48329809509642185,0.00011863980803739071,0.08396035281628955,0.25071275043721397,0.5323500859738197,1.7715332069068168e-06,0.01517447664787308,0.20150380363439013,0.6747711191810595
51506.78076168122,1.2583316616425098,1.2895274597854551,1.2828278231367576,1.279748699349251,0.3178382781856848,0.9401100615219349,1.2070897471331743,1.2648577582905332,0.0031850690688880468,0.09966268666835254,0.22022116659479085,0.5162540218170681,0.00013410305590377813,0.09293548921125439,0.27604316383572103,0.5890423621226044,2.3647249528524483e-06,0.016068865647998476,0.22468939174601843,0.7828706512670922
60208.94493336126,1.9715717026913895,2.030735244359608,2.019373645393131,2.013133203618863,0.4923611638046068,1.5240293817994206,1.9277275799018438,2.001010058590328,0.003505771874324437,0.11155832058610571,0.24463615897648516,0.5629269708430726,0.00015155104746755743,0.1037349726141008,0.30913095424422865,0.662645856653012,3.081454746922674e-06,0.016709722632398893,0.2549496441919632,0.9058028089633305
70381.35554931547,3.141901183251295,3.2539210066921065,3.2340943428795947,3.223121113344921,0.7823010869422635,2.523211810612742,3.1307536667106213,3.230204082113895,0.003872670101265685,0.1264112525347536,0.277324795120804,0.63293809506514,0.00017133819870185363,0.11588019361614244,0.35216341927576966,0.7644276131325212,3.9224864082365585e-06,0.016925390544896612,0.29234444148584426,1.0608951479717597
82272.41341700457,3.5351553542647522,3.3052651663079633,3.3531468059421154,3.37398889251906,1.2701529342995994,4.240950486615861,3.7705795525359633,3.389111515362334,0.004305894570781454,0.14399943457390219,0.3190932374281017,0.7290677877574909,0.0001936359016234679,0.12867689608624544,0.4056182362749716,0.9006809502202069,4.882983947629427e-06,0.016567269075424274,0.33535462645390135,1.2631376546840594
96172.48711152964,,,,,2.094791509875603,1.375532097714256,,,0.004840814792502313,0.16381719861272992,0.37056455297741486,0.8507546945098632,0.00021840488247049095,0.14100894816536225,0.46762404745965647,1.0724617164483785,5.964529152580056e-06,0.015567831973183455,0.38135219633739537,1.5191974147678788
112421.00350620862,,,,,3.473389567702575,,,,0.005508847982056753,0.1852375662566128,0.4307491106827994,0.995199947473937,0.00024562114715298566,0.15167827034427916,0.533814190302929,1.2738107953502036,7.1752836268146325e-06,0.013986469956429493,0.42471815323309237,1.8229636114705823
131414.7362611758,,,,,3.4320705311916235,,,,0.006283822510487647,0.20772185293389178,0.4942892745055798,1.1625125639536842,0.0002755099048288301,0.15938073136944908,0.5976270631158398,1.4900398896869032,8.53621341656563e-06,0.011987588652751402,0.4602804619775607,2.1541905436526907
153617.49466718297,,,,,,,,,0.007066098255925524,0.2311340779510478,0.559253545442755,1.3579511780284292,0.0003079234071653447,0.16305216014564028,0.6511424104794736,1.6974959555663816,1.006462633634797e-05,0.009852192184444442,0.47827810489576805,0.28931587954208204
179571.44943716406,,,,,,,,,0.007993668208487681,0.25489326574392956,0.6257329278870838,1.5421386043332035,0.0003440912005164831,0.1622694343359954,0.6868192892631999,1.6631903417819256,1.187218323228656e-05,0.007902956328807886,0.4768051870791279,
209910.37201085544,,,,,,,,,0.009133369470150976,0.28206614881675485,0.699745624702965,1.723239405235832,0.00038569433224744376,0.15725236501481055,0.6985068384949153,,1.405957657263368e-05,0.006357722820228728,0.45447966538037576,
245375.11066398167,,,,,,,,,0.010448045342832168,0.31149321418891995,0.7755539005260204,0.18570887509005374,0.00042704936501780644,0.14784234260268603,0.6841989764870293,,1.6408209312701594e-05,0.005521725801450605,0.4121414635245575,
286831.6813342009,,,,,,,,,0.011915821201903265,0.3412854469343669,0.8531727277821686,,0.00046889344972400604,0.13486684419936212,0.6446148878204774,,1.9177955782656575e-05,0.005240280695548827,0.35458864922307676,
335292.4149249553,,,,,,,,,0.013590471913264013,0.37031298675887525,0.9255445575966004,,0.0005136530285647645,0.11971853333752103,0.5842552681031137,,2.1926229250346374e-05,0.004976630923489878,0.28881969282190756,
391940.6774847221,,,,,,,,,0.012342909613122788,0.3469906710209374,0.8775963219469674,,0.0004887785300379255,0.08823700343835084,0.44792976496318815,,2.4933242680935663e-05,0.004000153304675069,0.19329569870965635,
458159.7669054491,,,,,,,,,0.013989734694481615,0.3594535428637977,0.9194997523274981,,0.0005382736944017363,0.07323663858250029,0.3697679499849311,,2.8250990891875993e-05,0.0038803826692340726,0.14040038177743952,
535566.6917706897,,,,,,,,,0.015845795650028416,0.36365474420708566,0.940127853259165,,,0.06269991942612219,0.29821341440366744,,3.190293243016118e-05,0.003782991351183429,0.0995526679278802,
626051.6572014828,,,,,,,,,0.017926421955714478,0.3570960225748525,0.9424890216633344,,,0.06371306207485761,0.23724037094803663,,3.588856830050169e-05,0.003718001381018299,0.08460260780931961,
731824.2219076181,,,,,,,,,0.02025134604580181,0.36304518689660625,0.5767614718957237,,,0.06754916179973236,0.20246440011132805,,4.020797996062697e-05,0.0037060567430302616,0.08123034736205526,
855467.2535565684,,,,,,,,,0.022832095486449266,0.40307211996996006,,,,0.07267852773497818,0.21081089052195523,,4.483851469305744e-05,0.0037669382240338445,0.07956729823646569,
1000000.0,,,,,,,,,0.02563276644987733,0.4607097386719845,,,,0.07860783586014675,0.22434354101280718,,4.967309725878444e-05,0.003891882301463534,0.0796273322587524,
