Time[yr],single_sup_earth_3.0au,single_sup_earth_5.0au,single_nep_3.0au,single_nep_5.0au,single_nep_7.0au,single_nep_10.0au,single_sat_3.0au,single_sat_5.0au,single_sat_7.0au,single_sat_10.0au,single_jup_3.0au,single_jup_5.0au,single_jup_7.0au,single_jup_10.0au,single_sup_jup_3.0au,single_sup_jup_5.0au,single_sup_jup_7.0au,single_sup_jup_10.0au
751.7598952810716,8.5546379027579e-05,8.280602514265656e-05,0.00011960250619742763,8.282649440030654e-05,8.280341693257809e-05,8.280432939018756e-05,0.0004445638902564053,8.30162445435989e-05,8.276106462576371e-05,8.278934017975914e-05,3.493428295262002e-05,9.416875330142682e-05,0.14168797796843002,8.26323524805439e-05,2.0591999040781017e-06,0.00020832690421729305,7.927764336129739e-05,8.142420603658718e-05
903.0726980170585,0.0003291222790082482,0.0003175114931092543,0.0004191613466177774,0.0003174291089899639,0.0003175141779761942,0.0003175163231382422,0.0005641242697446425,0.00031766309631986456,0.00031735802870616614,0.0003174690899754862,2.6747532520007833e-05,0.0003634423929228525,0.16958584485024164,0.0003169655073547717,2.6880719786737117e-06,0.000556972605001177,0.0003062309588840739,0.0003127042514528833
1084.8414540641215,0.00045363590909641704,0.0004375328101212106,0.0005532093774921754,0.000437560514715607,0.0004375395297431389,0.0004375422686453967,0.0005286445082676172,0.00043790410827643234,0.0004373895919673326,0.0004374865104423281,2.2272512828727664e-05,0.0005036682291876399,0.19868039655005498,0.000436889870318688,1.9992296840104506e-06,0.0007581461565268899,0.0004250661899192071,0.0004319119108163322
1303.1962798123775,0.0005556395226535421,0.0005341030728613361,0.0006702616526459426,0.0005341455190731592,0.0005340923689840654,0.0005340944814684195,0.00047214478328222453,0.0005349988917576626,0.0005339779630986335,0.0005340363113570529,1.4151450642860275e-05,0.0006172570585160908,0.22476379186380213,0.0005334313486469733,5.180525955300608e-07,0.0010116768710576873,0.0005232356810625782,0.0005282185668386147
1565.5011498264855,0.0006791570309471751,0.0006528195435584472,0.0008042114935369465,0.000652878026327533,0.0006528067650719838,0.0006528077940286398,0.00043433543593293655,0.0006541518694684473,0.0006527235298348644,0.0006527469016974763,9.712326627137058e-06,0.0007521779255314082,0.24320320280030594,0.0006521148052625603,6.221094604741406e-08,0.0013190224283714802,0.0006439366072114178,0.0006466402818453565
1880.602245473642,0.0008362997865875577,0.0008053462487654234,0.0009653169947932277,0.0008053913767773202,0.000805335863799328,0.0008053352992897916,0.00041163729069822186,0.0008058752289676341,0.0008052974907611921,0.000805271702059504,6.694883768240678e-06,0.0009271650613524168,0.24997248665469152,0.0008046113269805644,4.085268719145052e-08,0.0016618064768044727,0.000796355427966855,0.0007988730352558454
2259.126290691315,0.001038425708473123,0.0010025640209166548,0.0011502696120638672,0.0010024408085820696,0.0010025711087863626,0.0010025684064687707,0.00038809995783442575,0.000997336779332822,0.0010025946012559434,0.0010025036468561538,4.9305607996569245e-06,0.0011742556284721484,0.24343200246662855,0.0010018308147723004,2.9578812274499988e-08,0.0020283778426758298,0.0009843159841551874,0.0009959489530932675
2713.838936211265,0.0012996921936916928,0.0012597380982973388,0.0013333972618198298,0.0012588576018281034,0.0012598179282586608,0.0012598134223229251,0.0003570604710730896,0.0012350480390382335,0.001259892168890081,0.0012597507515016843,4.0406991539954085e-06,0.001549391058160668,0.2240834652274133,0.0012590991780249833,2.7944856581529898e-08,0.002426734643511147,0.001213120113793334,0.0012533010723264626
3260.0752786788876,0.0016411815342201597,0.0015993801869335078,0.0014865418220111476,0.0015959479118094339,0.0015997008652769013,0.001599700193304146,0.00032680584068384144,0.0015286344156704296,0.0015996287279448629,0.0015996437690451726,3.767795913531269e-06,0.002142175652124892,0.17215883930554066,0.0015990558484736683,2.6288816179498298e-08,0.0028599853320262075,0.0015066188028293598,0.001593438564386651
3916.2570338425785,0.0020969327728750653,0.0020550368918221817,0.0016068121752324666,0.002044919332814907,0.0020559705201910056,0.002056006040207614,0.00031124153082867645,0.0019062001226054504,0.0020546071278402522,0.002055957825232657,4.129515914927384e-06,0.0030953400604614573,0.13826560827185608,0.002055447003066868,2.7471027216896537e-08,0.003290349118620514,0.0019317574873364551,0.0020487146102426412
