run_name,v_frag,scenario,alpha,M_emb0,r_gap,M_gap,n_gaps,amp_val,M_final,M_prev,T_final_Myr,M_iso_E,R_variation,frac_h2o_percent,Is_Valid,Discard_Reason,Cat_Masa,Cat_Agua
run_r5.0_m0.1_a0.0001,10,general,0.0001,0.0001,5.0,0.1,0,0.0,0.04566082763588967,0.04565942913145943,10.0,3.9554729419867884,3.062810077365041e-05,0.051867434964736975,True,,< 0.1 M_E,
run_r5.0_m0.3_a0.0001,10,general,0.0001,0.0001,5.0,0.3,0,0.0,0.05420342460453556,0.054203307359652765,10.0,3.9554729419867884,2.163053047863207e-06,0.005988582214334141,True,,< 0.1 M_E,
run_r5.0_m0.5_a0.0001,10,general,0.0001,0.0001,5.0,0.5,0,0.0,0.03983451519437205,0.03983236526875959,10.0,3.9554729419867884,5.397142658732265e-05,0.0409199829838841,True,,< 0.1 M_E,
run_r5.0_m1.0_a0.0001,10,general,0.0001,0.0001,5.0,1.0,0,0.0,0.02129967610743485,0.021299516355703034,10.0,3.9554729419867884,7.5001953555292795e-06,0.07330832063295778,True,,< 0.1 M_E,
run_r5.0_m3.0_a0.0001,10,general,0.0001,0.0001,5.0,3.0,0,0.0,0.04786453822460215,0.04786453820358454,10.0,3.9554729419867884,4.391059666130921e-10,0.01571490675506116,True,,< 0.1 M_E,
run_r5.0_m5.0_a0.0001,10,general,0.0001,0.0001,5.0,5.0,0,0.0,0.0393653851267515,0.03936538512675119,10.0,3.9554729419867884,7.932101379687243e-15,0.008389240353988194,True,,< 0.1 M_E,
run_r10.0_m0.01_a0.0001,10,general,0.0001,0.001,10.0,0.01,0,0.0,3.9554729419867884,3.245658501304826,0.24201282647943834,3.9554729419867884,0.17945121887888102,0.0,True,,Isolation Mass,0% Agua
run_r10.0_m0.1_a0.0001,10,general,0.0001,0.001,10.0,0.1,0,0.0,0.47783203706279403,0.47783053522172597,10.0,3.9554729419867884,3.143031340667575e-06,0.024524501805417893,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r10.0_m0.3_a0.0001,10,general,0.0001,0.001,10.0,0.3,0,0.0,0.33294626040717246,0.33294594687509976,10.0,3.9554729419867884,9.416897258729245e-07,0.016824685019575018,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r10.0_m0.5_a0.0001,10,general,0.0001,0.001,10.0,0.5,0,0.0,0.28066283624151367,0.28066276103474025,10.0,3.9554729419867884,2.6796128203903966e-07,0.023456910833564604,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r10.0_m1.0_a0.0001,10,general,0.0001,0.001,10.0,1.0,0,0.0,0.23521943311249088,0.2352193716167023,10.0,3.9554729419867884,2.614400849401672e-07,0.024525871123630708,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r10.0_m3.0_a0.0001,10,general,0.0001,0.001,10.0,3.0,0,0.0,0.13213097414327643,0.13213094452694998,10.0,3.9554729419867884,2.2414370770255273e-07,0.0029776857513215474,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r10.0_m5.0_a0.0001,10,general,0.0001,0.001,10.0,5.0,0,0.0,0.10602422064068566,0.10602407555166983,10.0,3.9554729419867884,1.3684516137226822e-06,0.003764362234622801,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m0.01_a0.0001,10,general,0.0001,0.001,15.0,0.01,0,0.0,3.9554729419867884,3.291704431109002,0.24201282647943834,3.9554729419867884,0.1678101507994094,0.0,True,,Isolation Mass,0% Agua
run_r15.0_m0.1_a0.0001,10,general,0.0001,0.001,15.0,0.1,0,0.0,2.0624243337639774,2.0624242435564675,10.0,3.9554729419867884,4.3738579122397016e-08,0.003580171053302603,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m0.3_a0.0001,10,general,0.0001,0.001,15.0,0.3,0,0.0,1.3244887650823451,1.3244887092764557,10.0,3.9554729419867884,4.213390927601225e-08,0.005023922580633056,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m0.5_a0.0001,10,general,0.0001,0.001,15.0,0.5,0,0.0,1.0653997256490257,1.0653996755290376,10.0,3.9554729419867884,4.7043364995427875e-08,0.005952273755585851,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m1.0_a0.0001,10,general,0.0001,0.001,15.0,1.0,0,0.0,0.8023659499904349,0.8023659321846199,10.0,3.9554729419867884,2.2191638284020793e-08,0.0030164182473531873,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m3.0_a0.0001,10,general,0.0001,0.001,15.0,3.0,0,0.0,0.42259819989428044,0.4225981534549813,10.0,3.9554729419867884,1.0988995963545388e-07,0.006151592964615636,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m5.0_a0.0001,10,general,0.0001,0.001,15.0,5.0,0,0.0,0.32346866386084694,0.3234686478745646,10.0,3.9554729419867884,4.9421425131675e-08,0.011873108545087479,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r20.0_m0.01_a0.0001,10,general,0.0001,0.001,20.0,0.01,0,0.0,3.9554729419867884,3.2988490859816233,0.24201282647943834,3.9554729419867884,0.1660038801012125,0.0,True,,Isolation Mass,0% Agua
run_r20.0_m0.1_a0.0001,10,general,0.0001,0.001,20.0,0.1,0,0.0,3.9554729419867884,2.505704133973638,0.24201282647943834,3.9554729419867884,0.36652224127842176,0.0,True,,Isolation Mass,0% Agua
run_r20.0_m0.3_a0.0001,10,general,0.0001,0.001,20.0,0.3,0,0.0,3.788546327510996,3.7885463145217497,10.0,3.9554729419867884,3.42855676036417e-09,0.0029326415149127545,True,,Isolation Mass,Mundos Áridos
run_r20.0_m0.5_a0.0001,10,general,0.0001,0.001,20.0,0.5,0,0.0,3.034376282304739,3.0343762559023335,10.0,3.9554729419867884,8.701098063914388e-09,0.010549269094263162,True,,> 0.1 M_E (No iso),Súper-Tierra Seca
run_r20.0_m1.0_a0.0001,10,general,0.0001,0.001,20.0,1.0,0,0.0,2.188841843198285,2.188841807924789,10.0,3.9554729419867884,1.611514154555669e-08,0.0034456539249078356,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r20.0_m3.0_a0.0001,10,general,0.0001,0.001,20.0,3.0,0,0.0,1.102734219049619,1.1027341935738424,10.0,3.9554729419867884,2.310237241150364e-08,0.008464294841564987,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r20.0_m5.0_a0.0001,10,general,0.0001,0.001,20.0,5.0,0,0.0,0.7396171720267245,0.7396171268906437,10.0,3.9554729419867884,6.102627476611906e-08,0.0069384421310188914,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r5.0_m0.01_a0.0001,10,general,0.0001,0.001,5.0,0.01,0,0.0,0.15678393836264493,0.15678142698163566,10.0,3.9554729419867884,1.6018101315031588e-05,0.0755053266201036,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r5.0_m0.1_a0.0001,10,general,0.0001,0.001,5.0,0.1,0,0.0,0.09208805205137012,0.09208665354693989,10.0,3.9554729419867884,1.518660020578168e-05,0.025717885817797954,True,,< 0.1 M_E,
run_r5.0_m0.3_a0.0001,10,general,0.0001,0.001,5.0,0.3,0,0.0,0.053643737414635136,0.05364362016975234,10.0,3.9554729419867884,2.1856210705311022e-06,0.006051063557218985,True,,< 0.1 M_E,
run_r5.0_m0.5_a0.0001,10,general,0.0001,0.001,5.0,0.5,0,0.0,0.048119439149985746,0.04811728922437329,10.0,3.9554729419867884,4.4678941617616014e-05,0.03387461933719274,True,,< 0.1 M_E,
run_r5.0_m1.0_a0.0001,10,general,0.0001,0.001,5.0,1.0,0,0.0,0.03891922426293512,0.038919064511203305,10.0,3.9554729419867884,4.104699794014163e-06,0.05901964192698392,True,,< 0.1 M_E,
run_r5.0_m3.0_a0.0001,10,general,0.0001,0.001,5.0,3.0,0,0.0,0.08066190499905156,0.08066190496366464,10.0,3.9554729419867884,4.3870666853716064e-10,0.013741595841555347,True,,< 0.1 M_E,
run_r5.0_m5.0_a0.0001,10,general,0.0001,0.001,5.0,5.0,0,0.0,0.05262742246227022,0.052627422462269806,10.0,3.9554729419867884,7.910963804714407e-15,0.00834166683059068,True,,< 0.1 M_E,
run_r10.0_m0.01_a0.0001,10,general,0.0001,0.01,10.0,0.01,0,0.0,3.9554729419867884,1.8055334998613592,0.21544346900318867,3.9554729419867884,0.5435353682499316,0.0,True,,Isolation Mass,0% Agua
run_r10.0_m0.1_a0.0001,10,general,0.0001,0.01,10.0,0.1,0,0.0,0.7081340368453437,0.7081325350042756,10.0,3.9554729419867884,2.12084293356936e-06,0.016548551610141484,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r10.0_m0.3_a0.0001,10,general,0.0001,0.01,10.0,0.3,0,0.0,0.4961152164816279,0.4961149029495553,10.0,3.9554729419867884,6.319743119466161e-07,0.01129115933899907,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r10.0_m0.5_a0.0001,10,general,0.0001,0.01,10.0,0.5,0,0.0,0.4190168119962022,0.4190167367894288,10.0,3.9554729419867884,1.79483904384893e-07,0.01571173980501814,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r10.0_m1.0_a0.0001,10,general,0.0001,0.01,10.0,1.0,0,0.0,0.34782456520126503,0.34782450370547646,10.0,3.9554729419867884,1.7680116565925613e-07,0.016585836882890306,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r10.0_m3.0_a0.0001,10,general,0.0001,0.01,10.0,3.0,0,0.0,0.19188451810180665,0.1918844884854802,10.0,3.9554729419867884,1.5434453357571455e-07,0.0020504234677543045,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r10.0_m5.0_a0.0001,10,general,0.0001,0.01,10.0,5.0,0,0.0,0.15367564100664968,0.15367549591763385,10.0,3.9554729419867884,9.441250082253301e-07,0.00259711669019713,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m0.01_a0.0001,10,general,0.0001,0.01,15.0,0.01,0,0.0,3.9554729419867884,1.8272280495371072,0.21544346900318867,3.9554729419867884,0.5380506765344446,0.0,True,,Isolation Mass,0% Agua
run_r15.0_m0.1_a0.0001,10,general,0.0001,0.01,15.0,0.1,0,0.0,2.9802977836145326,2.9802976934070227,10.0,3.9554729419867884,3.026795188126744e-08,0.002477548364450186,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m0.3_a0.0001,10,general,0.0001,0.01,15.0,0.3,0,0.0,1.9306193439885797,1.93061928818269,10.0,3.9554729419867884,2.890569280831351e-08,0.003446629204980838,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m0.5_a0.0001,10,general,0.0001,0.01,15.0,0.5,0,0.0,1.559922742939768,1.5599226928197798,10.0,3.9554729419867884,3.212978872612737e-08,0.0040652980122836265,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m1.0_a0.0001,10,general,0.0001,0.01,15.0,1.0,0,0.0,1.1749654762494113,1.1749654584435962,10.0,3.9554729419867884,1.515433040761539e-08,0.0020598658782143395,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m3.0_a0.0001,10,general,0.0001,0.01,15.0,3.0,0,0.0,0.6231402215880089,0.6231401751487097,10.0,3.9554729419867884,7.452463759370774e-08,0.00417185734970524,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m5.0_a0.0001,10,general,0.0001,0.01,15.0,5.0,0,0.0,0.45961156345146154,0.45961154746517907,10.0,3.9554729419867884,3.478215897009817e-08,0.008356139972008875,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r20.0_m0.01_a0.0001,10,general,0.0001,0.01,20.0,0.01,0,0.0,3.9554729419867884,1.8302778270476388,0.21544346900318867,3.9554729419867884,0.537279649262798,0.0,True,,Isolation Mass,0% Agua
run_r20.0_m0.1_a0.0001,10,general,0.0001,0.01,20.0,0.1,0,0.0,3.9554729419867884,3.649782564077529,0.24201282647943834,3.9554729419867884,0.07728288940227575,0.0,True,,Isolation Mass,0% Agua
run_r20.0_m0.3_a0.0001,10,general,0.0001,0.01,20.0,0.3,0,0.0,3.9554729419867884,3.512176857970767,0.30538555088334124,3.9554729419867884,0.11207157538874703,0.0,True,,Isolation Mass,0% Agua
run_r20.0_m0.5_a0.0001,10,general,0.0001,0.01,20.0,0.5,0,0.0,3.9554729419867884,3.8178590063353215,0.3853528593710528,3.9554729419867884,0.03479076653279925,0.0,True,,Isolation Mass,0% Agua
run_r20.0_m1.0_a0.0001,10,general,0.0001,0.01,20.0,1.0,0,0.0,3.1598354598741873,3.1598354246006917,10.0,3.9554729419867884,1.1163079890651272e-08,0.0023868304485446102,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r20.0_m3.0_a0.0001,10,general,0.0001,0.01,20.0,3.0,0,0.0,1.6076883719847246,1.607688346508948,10.0,3.9554729419867884,1.5846215624451245e-08,0.0058057691556206445,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r20.0_m5.0_a0.0001,10,general,0.0001,0.01,20.0,5.0,0,0.0,1.0794126067130598,1.0794125615769792,10.0,3.9554729419867884,4.1815409946216286e-08,0.004754244035413101,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r5.0_m0.01_a0.0001,10,general,0.0001,0.01,5.0,0.01,0,0.0,0.2363308284256557,0.23632748271068674,10.0,3.9554729419867884,1.4156912964968264e-05,0.07385889322487812,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
run_r5.0_m0.1_a0.0001,10,general,0.0001,0.01,5.0,0.1,0,0.0,0.10068897058292396,0.10068757207849373,10.0,3.9554729419867884,1.388935076142835e-05,0.023521046983890983,True,,> 0.1 M_E (No iso),Análogo Terrestre Estricto
