Time[yr],single_sup_earth_3.0au,single_sup_earth_5.0au,single_sup_earth_7.0au,single_sup_earth_10.0au,single_nep_3.0au,single_nep_5.0au,single_nep_7.0au,single_nep_10.0au,single_sat_3.0au,single_sat_5.0au,single_sat_7.0au,single_sat_10.0au,single_jup_3.0au,single_jup_5.0au,single_jup_7.0au,single_jup_10.0au,single_sup_jup_3.0au,single_sup_jup_5.0au,single_sup_jup_7.0au,single_sup_jup_10.0au
3101.1689265747787,1.6563384818202298e-05,1.6562426953026232e-05,1.656241600282715e-05,1.65624136111292e-05,1.6573778986950227e-05,1.6562581920634423e-05,1.656245241381249e-05,1.6562424275612386e-05,1.686452949467565e-05,1.656761188671696e-05,1.6563638475811104e-05,1.6562771470329807e-05,2.045161736029255e-05,1.6621132851696307e-05,1.6576100187667975e-05,1.6566416549804175e-05,4.0456042930389624e-05,1.716917926489203e-05,1.6687258164296837e-05,1.659855613360406e-05
3625.117049988535,1.9351122595587245e-05,1.934875767001243e-05,1.934874101258699e-05,1.9348737550439754e-05,1.9376092695047586e-05,1.934898974680077e-05,1.934879328338579e-05,1.934875255135693e-05,1.9959573021879895e-05,1.9356547199284035e-05,1.9350495881517715e-05,1.9349240928084877e-05,2.558085531099985e-05,1.9437972426608607e-05,1.9368395436314412e-05,1.935436864379525e-05,4.981674121705415e-05,2.035408626036017e-05,1.9528876420218944e-05,1.9399624852631248e-05
4237.587160604064,2.260858470584659e-05,2.2602911560240524e-05,2.2602885377073778e-05,2.2602880313887797e-05,2.266661739019904e-05,2.2603269636711776e-05,2.260296109402038e-05,2.260290152558686e-05,2.3781183172102982e-05,2.261497742712948e-05,2.260542747500871e-05,2.260359211039842e-05,3.2236240368341273e-05,2.2744496969942518e-05,2.263137724775599e-05,2.261084373249289e-05,6.04171413350757e-05,2.4356462113322985e-05,2.2866117767486593e-05,2.2674921024687378e-05
4953.53520895917,2.6417482566196138e-05,2.6404688517611685e-05,2.6404644738492467e-05,2.6404637233495842e-05,2.65439652268884e-05,2.6405272054788598e-05,2.640475572483758e-05,2.6404667428106543e-05,2.854767680542103e-05,2.6424463704238788e-05,2.6408371445713064e-05,2.6405650483271592e-05,4.07110973316277e-05,2.6645204186603877e-05,2.644646739173584e-05,2.641597492540615e-05,7.225873846537778e-05,2.9557479004724274e-05,2.6797388033766856e-05,2.650734624030926e-05
5790.443980602483,3.087890078350142e-05,3.0852094176789246e-05,3.0852011823609415e-05,3.085200048549841e-05,3.113469396001656e-05,3.08531497088399e-05,3.085217726676859e-05,3.085204387132112e-05,3.4522431894709604e-05,3.088779905591199e-05,3.085756880534529e-05,3.0853456426130355e-05,5.128188190801908e-05,3.1294588883179486e-05,3.0914571313600536e-05,3.0868295136404766e-05,8.535010304784596e-05,3.652389395666922e-05,3.1459558444968394e-05,3.099990147517606e-05
6768.750009458535,3.612606222433423e-05,3.607382205172982e-05,3.607363766389149e-05,3.607362002888692e-05,3.660693000018256e-05,3.607606548995668e-05,3.607389072758649e-05,3.6073683236451104e-05,4.201566038029847e-05,3.614670178092583e-05,3.608214577757729e-05,3.607574120749468e-05,6.419393682186025e-05,3.693743723971743e-05,3.617024352442488e-05,3.6097367559731475e-05,9.96686408191172e-05,4.604716439757239e-05,3.70677064853997e-05,3.6289816461726465e-05
7912.342618981326,4.2350537985194614e-05,4.2255027005902446e-05,4.225454491214864e-05,4.22545160922716e-05,4.31974001547375e-05,4.226059358389267e-05,4.225494922156792e-05,4.225461005716302e-05,5.138423174211315e-05,4.241818154054888e-05,4.226817361270563e-05,4.225766959148336e-05,8.011952505221354e-05,4.396429889091946e-05,4.241219615470915e-05,4.228983877052617e-05,0.00011510144136427092,5.920712544602025e-05,4.399380564894251e-05,4.257783763611522e-05
9249.147277217333,4.9852244356454745e-05,4.9686422298009236e-05,4.9685090322285075e-05,4.9685038741670295e-05,5.125756822489669e-05,4.970117136510188e-05,4.968578967590176e-05,4.9685182353015334e-05,6.301332560186557e-05,5.005825846446377e-05,4.970872362163037e-05,4.968985881587118e-05,0.000102726418262436,5.2973828733399175e-05,4.99645187523462e-05,4.9739084562266944e-05,0.0001313886841270845,7.747272916865111e-05,5.2889362803260065e-05,5.018537083743835e-05
10811.807510766077,5.9129030179794206e-05,5.8852468088760324e-05,5.884893360905141e-05,5.8848826443622104e-05,6.13087569573123e-05,5.889029566656656e-05,5.8850315480613036e-05,5.8849053749740476e-05,7.726671947171082e-05,5.9656955272546774e-05,5.889497397650045e-05,5.885645776952664e-05,0.00012159196714227327,6.485245776270687e-05,5.938832751747891e-05,5.8934627501464054e-05,0.00014809020506607873,0.00010273785621534026,6.483071543400554e-05,5.966169834831225e-05
12638.482029342971,7.10316992059562e-05,7.058487134022073e-05,7.057619797154469e-05,7.057593781531479e-05,7.407270202604288e-05,7.067397448536072e-05,7.057936635429529e-05,7.05763130362802e-05,9.441416548126857e-05,7.216923126779351e-05,7.067545636636752e-05,7.058854715623342e-05,0.0001444449592345881,8.093671944725545e-05,7.165706499841218e-05,7.07186614236216e-05,0.00016458566960536603,0.00014517984803041895,8.147115211033784e-05,7.197684305414176e-05
